,index,pitax_2018,pitax_2019,pitax_2020,pitax_2021,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027
0,<0,0,0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0,0,0
2,0-0.5 m,"1,476","1,387","1,392","1,255","1,208","1,208","1,138","1,110","1,040",991,959
3,0.5-1m,"3,183","3,143","3,141","3,161","3,125","3,125","2,998","2,846","2,670","2,488","2,398"
4,1-1.5m,"5,311","4,338","4,393","3,832","3,697","4,207","4,148","3,974","3,983","4,087","4,162"
5,1.5-2m,"6,125","7,213","7,174","7,275","7,063","9,275","8,483","7,822","6,673","6,279","5,984"
6,2-3m,"6,681","7,915","7,813","9,748","10,672","14,777","16,954","18,482","20,493","21,404","21,530"
7,3-4m,"3,700","4,467","4,446","4,968","5,616","7,866","9,338","10,200","11,354","12,902","14,686"
8,4-5m,"1,956","2,446","2,439","3,442","3,682","5,160","5,988","6,313","6,932","7,724","9,074"
9,5-10m,"6,784","7,335","7,277","8,046","8,567","11,150","12,002","13,201","14,837","16,217","18,212"
10,>10m,"19,561","22,330","22,205","25,608","27,568","33,242","37,242","39,558","43,401","47,240","51,333"
11,ALL,"54,775","60,575","60,279","67,336","71,196","90,009","98,291","103,506","111,382","119,332","128,337"
