        weight_2018 pitax_2018 total_gross_income_2018 weight_2019 pitax_2019 total_gross_income_2019 weight_2020 pitax_2020 total_gross_income_2020 weight_2021 pitax_2021 total_gross_income_2021 weight_2022 pitax_2022 total_gross_income_2022 weight_ref_2022 pitax_ref_2022 total_gross_income_ref_2022 weight_ref_2023 pitax_ref_2023 total_gross_income_ref_2023 weight_ref_2024 pitax_ref_2024 total_gross_income_ref_2024 weight_ref_2025 pitax_ref_2025 total_gross_income_ref_2025 weight_ref_2026 pitax_ref_2026 total_gross_income_ref_2026 weight_ref_2027 pitax_ref_2027 total_gross_income_ref_2027
<0              0.0          0                       0         0.0          0                       0         0.0          0                       0         0.0          0                       0         0.0          0                       0             0.0              0                           0             0.0              0                           0             0.0              0                           0             0.0              0                           0             0.0              0                           0             0.0              0                           0
=0          21560.0          0                       0     21560.0          0                       0     21560.0          0                       0     21560.0          0                       0     21560.0          0                       0         21560.0              0                           0         21560.0              0                           0         21560.0              0                           0         21560.0              0                           0         21560.0              0                           0         21560.0              0                           0
0-0.5 m     54000.0      1,476                  14,760     49670.0      1,387                  13,872     49880.0      1,392                  13,917     44550.0      1,255                  12,550     42380.0      1,208                  12,077         42380.0          1,208                      12,077         39300.0          1,138                      11,375         37810.0          1,110                      11,104         35120.0          1,040                      10,395         33000.0            991                       9,914         31170.0            959                       9,586
0.5-1m      44040.0      3,183                  31,825     43010.0      3,143                  31,434     43020.0      3,141                  31,413     42770.0      3,161                  31,607     41930.0      3,125                  31,247         41930.0          3,125                      31,247         40010.0          2,998                      29,983         37990.0          2,846                      28,455         35910.0          2,670                      26,702         33690.0          2,488                      24,878         32240.0          2,398                      23,978
1-1.5m      38090.0      5,311                  48,173     31390.0      4,338                  39,408     31750.0      4,393                  39,886     27820.0      3,832                  34,822     26850.0      3,697                  33,563         26850.0          4,207                      33,563         26610.0          4,148                      33,088         26290.0          3,974                      32,227         26850.0          3,983                      32,636         27680.0          4,087                      33,583         27560.0          4,162                      33,799
1.5-2m      28890.0      6,125                  49,536     33750.0      7,213                  58,016     33580.0      7,174                  57,715     33160.0      7,275                  57,913     31730.0      7,063                  55,880         31730.0          9,275                      55,880         28370.0          8,483                      50,330         26340.0          7,822                      46,397         22760.0          6,673                      39,687         21300.0          6,279                      37,207         20030.0          5,984                      35,139
2-3m        21210.0      6,681                  51,029     24880.0      7,915                  59,757     24590.0      7,813                  59,039     30360.0      9,748                  72,876     33050.0     10,672                  79,344         33050.0         14,777                      79,344         37530.0         16,954                      90,263         40610.0         18,482                      97,601         44230.0         20,493                     106,866         44950.0         21,404                     110,217         44160.0         21,530                     109,800
3-4m         8080.0      3,700                  27,820      9620.0      4,467                  33,150      9590.0      4,446                  33,007     10690.0      4,968                  36,680     12010.0      5,616                  41,158         12010.0          7,866                      41,158         13870.0          9,338                      47,627         14970.0         10,200                      51,337         16530.0         11,354                      56,628         18440.0         12,902                      63,418         20650.0         14,686                      70,837
4-5m         3580.0      1,956                  15,903      4270.0      2,446                  18,937      4260.0      2,439                  18,895      5780.0      3,442                  25,600      6070.0      3,682                  26,973          6070.0          5,160                      26,973          6850.0          5,988                      30,678          7260.0          6,313                      32,383          7940.0          6,932                      35,217          8650.0          7,724                      38,510          9960.0          9,074                      44,301
5-10m        7880.0      6,784                  54,582      8460.0      7,335                  58,904      8400.0      7,277                  58,449      9170.0      8,046                  64,503      9790.0      8,567                  68,456          9790.0         11,150                      68,456         10380.0         12,002                      71,954         11270.0         13,201                      77,664         12400.0         14,837                      84,173         13300.0         16,217                      89,973         14590.0         18,212                      98,845
>10m         5780.0     19,561                 170,993      6500.0     22,330                 194,483      6480.0     22,205                 193,442      7250.0     25,608                 221,537      7740.0     27,568                 237,849          7740.0         33,242                     237,849          8630.0         37,242                     264,698          9010.0         39,558                     279,982          9810.0         43,401                     305,579         10540.0         47,240                     330,915         11190.0         51,333                     358,113
ALL        233110.0     54,775                 464,622    233110.0     60,575                 507,961    233110.0     60,279                 505,761    233110.0     67,336                 558,089    233110.0     71,196                 586,548        233110.0         90,009                     586,548        233110.0         98,291                     629,996        233110.0        103,506                     657,150        233110.0        111,382                     697,883        233110.0        119,332                     738,615        233110.0        128,337                     784,397

